conclusion,applicability,externalsources,appno,violation,languageisocode,originatingbody,itemid,importance,judgementdate,docname,ecli,scl,nonviolation,doctype,representedby,separateopinion,respondent,rulesofcourt,issue,referencedate,publishedby,doctypebranch,article,rank,extractedappno
Partly struck out of the list;Partly inadmissible,,,56681/09,,ENG,26,001-208089,4,,GÜNLEMENÇ AND OTHERS v. TURKEY,ECLI:CE:ECHR:2021:0121DEC005668109,,,HEDEC,İLGE M. ,,TUR,,,,,ADMISSIBILITYCOM,6;6-1;35;37;37-1;P1-1,4.799493,56681/09;26307/95;22677/10;18369/07;4529/06
Struck out of the list,,,40483/11,,ENG,26,001-208090,4,,YAMAN v. TURKEY,ECLI:CE:ECHR:2021:0119DEC004048311,,,HEDEC,KILIÇGÜN YEŞİL F. ,,TUR,,,,,ADMISSIBILITYCOM,6;6-1;6-3;6-3-c;37;37-1,4.799493,40483/11;26307/95;11602/02;28953/03;71409/10;38907/09;15185/05;7851/05;53567/07;28338/07;38740/09;50541/08;28439/03;36391/02;44898/10;18369/07
Struck out of the list,,,72613/11,,ENG,26,001-208092,4,,BAYOĞLU v. TURKEY,ECLI:CE:ECHR:2021:0119DEC007261311,,,HEDEC,TAŞ Ö.E. ,,TUR,,,,,ADMISSIBILITYCOM,6;6-1;6-3;6-3-c;37;37-1,4.799493,72613/11;26307/95;11602/02;28953/03;30961/03;42104/02;44898/10;18369/07
Struck out of the list,,,24911/14,,ENG,26,001-208094,4,,Î.P. VALEA SALCÎMILOR v. THE REPUBLIC OF MOLDOVA,ECLI:CE:ECHR:2021:0121DEC002491114,,,HEDEC,BARBĂNEAGRĂ I. ,,MDA,,,,,ADMISSIBILITYCOM,6;6-1;37;37-1,4.799493,24911/14
Struck out of the list,,,31973/17,,ENG,26,001-208096,4,,HAJSKÝ v. THE CZECH REPUBLIC,ECLI:CE:ECHR:2021:0121DEC003197317,,,HEDEC,TĚMÍN T. ,,CZE,,,,,ADMISSIBILITYCOM,6;6-1;39,4.799493,31973/17
Struck out of the list,,,43294/18,,ENG,26,001-208098,4,,LAZIĆ AND OTHERS v. SERBIA,ECLI:CE:ECHR:2021:0121DEC004329418,,,HEDEC,LAWYERS’ COMMITTEE FOR HUMAN RIGHTS “YUCOM”,,SRB,,,,,ADMISSIBILITYCOM,6;6-1;39,4.799493,43294/18
Struck out of the list,,,53506/18,,ENG,26,001-208101,4,,ĐORĐEVIĆ v. SERBIA,ECLI:CE:ECHR:2021:0121DEC005350618,,,HEDEC,MITIĆ J. ,,SRB,,,,,ADMISSIBILITYCOM,6;6-1;39;P1-1,4.799493,53506/18
Struck out of the list,,,1937/10;1942/10;3438/10;3828/10;3845/10;21974/10;21979/10;21981/10,,ENG,26,001-208102,4,,KAYIK AND OTHERS v. TURKEY,ECLI:CE:ECHR:2021:0121DEC000193710,,,HEDEC,ÇAKAN A. ,,TUR,,,,,ADMISSIBILITYCOM,6;6-1;39;P1-1,4.799493,1937/10;1942/10;3438/10;3828/10;3845/10;21974/10;21979/10;21981/10
Inadmissible,,,48162/18;49186/18;53369/18;53373/18;58416/18;59572/18;49635/19;51012/19;51704/19,,ENG,26,001-208104,4,,NIKOLIĆ AND OTHERS v. SERBIA,ECLI:CE:ECHR:2021:0121DEC004816218,,,HEDEC,STAJIĆ S. ,,SRB,,,,,ADMISSIBILITYCOM,6;6-1;35;P1-1,4.799493,48162/18;67810/10;43835/11;34929/16;43815/17;67618/09;49186/18;53369/18;53373/18;58416/18;59572/18;49635/19;51012/19;51704/19
Struck out of the list,,,15477/12,,ENG,27,001-208105,4,,GAVRICHKOV v. RUSSIA,ECLI:CE:ECHR:2021:0121DEC001547712,,,HEDEC,GORTALOV A. ,,RUS,,,,,ADMISSIBILITYCOM,3;6;39,4.799493,15477/12
Struck out of the list,,,5898/13,,ENG,27,001-208106,4,,ALAYEV v. RUSSIA,ECLI:CE:ECHR:2021:0121DEC000589813,,,HEDEC,SHOLOKHOV I.N. ,,RUS,,,,,ADMISSIBILITYCOM,3;13;39,4.799493,5898/13
Struck out of the list,,,20274/16,,ENG,27,001-208110,4,,PROKOPIOU v. CYPRUS,ECLI:CE:ECHR:2021:0121DEC002027416,,,HEDEC,CLERIDES Ch.,,CYP,,,,,ADMISSIBILITYCOM,6;6-1;39,4.799493,20274/16
Struck out of the list,,,11098/18,,ENG,27,001-208121,4,,TAKTASHOV v. RUSSIA,ECLI:CE:ECHR:2021:0121DEC001109818,,,HEDEC,N/A,,RUS,,,,,ADMISSIBILITYCOM,5;5-3;37;37-1,4.799493,11098/18
Struck out of the list,,,30760/18,,ENG,27,001-208122,4,,GRINEV v. RUSSIA,ECLI:CE:ECHR:2021:0121DEC003076018,,,HEDEC,PARSHIN A. ,,RUS,,,,,ADMISSIBILITYCOM,5;5-3;5-4;37;37-1,4.799493,30760/18
Struck out of the list,,,31537/18,,ENG,27,001-208123,4,,POPOV v. RUSSIA,ECLI:CE:ECHR:2021:0121DEC003153718,,,HEDEC,DRUZHKOVA O.V. ,,RUS,,,,,ADMISSIBILITYCOM,5;5-4;39,4.799493,31537/18
Partly struck out of the list;Partly inadmissible,,,46766/18,,ENG,27,001-208124,4,,PAGO v. GERMANY,ECLI:CE:ECHR:2021:0121DEC004676618,,,HEDEC,KATZENMAIER S. ,,DEU,,,,,ADMISSIBILITYCOM,6;8;13;35;39,4.799493,46766/18
Struck out of the list,,,36628/19,,ENG,27,001-208125,4,,VASILYEV v. RUSSIA,ECLI:CE:ECHR:2021:0121DEC003662819,,,HEDEC,N/A,,RUS,,,,,ADMISSIBILITYCOM,3;8;8-1;13;39,4.799493,36628/19
Struck out of the list,,,24861/20,,ENG,27,001-208126,4,,NAGORNAYA v. RUSSIA,ECLI:CE:ECHR:2021:0121DEC002486120,,,HEDEC,N/A,,RUS,,,,,ADMISSIBILITYCOM,8;37;37-1,4.799493,24861/20
Struck out of the list,,,18274/16;83666/17,,ENG,27,001-208127,4,,KANDAKHAROV AND KARABULIN v. RUSSIA,ECLI:CE:ECHR:2021:0121DEC001827416,,,HEDEC,YELAYEV I.A.,,RUS,,,,,ADMISSIBILITYCOM,3;13;39,4.799493,18274/16;83666/17
Struck out of the list,,,17269/18;17271/18;26778/18;28400/18,,ENG,27,001-208128,4,,MARTYUSHIN AND OTHERS v. RUSSIA,ECLI:CE:ECHR:2021:0121DEC001726918,,,HEDEC,N/A,,RUS,,,,,ADMISSIBILITYCOM,3;13;37;37-1,4.799493,17269/18;17271/18;26778/18;28400/18
Struck out of the list,,,37077/18;33326/19;48277/19;48669/19;50489/19;10175/20,,ENG,27,001-208129,4,,ROMANOVSKAYA AND OTHERS v. RUSSIA,ECLI:CE:ECHR:2021:0121DEC003707718,,,HEDEC,YASTREBOVA N.V. ; YEGAZARYANTS V.V. ; IVANOV D.A.,,RUS,,,,,ADMISSIBILITYCOM,3;5;5-3;5-4;13;39,4.799493,37077/18;33326/19;48277/19;48669/19;50489/19;10175/20
Struck out of the list,,,32474/16;33703/16,,ENG,28,001-208140,4,,CÎRPACI AND ȘTEFAN v. ROMANIA,ECLI:CE:ECHR:2021:0121DEC003247416,,,HEDEC,,,ROU,,,,,ADMISSIBILITYCOM,3;37;37-1,4.799493,32474/16;33703/16
Inadmissible,,,41239/19;41280/19,,ENG,28,001-208141,4,,KOVAČEVIĆ AND OTHERS v. BOSNIA AND HERZEGOVINA,ECLI:CE:ECHR:2021:0121DEC004123919,,,HEDEC,ETEROVIC O.,,BIH,,,,,ADMISSIBILITYCOM,6;6-1;35;P1-1,4.799493,41239/19;41280/19;67810/10;43835/11;3927/15;67618/09
Inadmissible,,,15637/20;16687/20,,ENG,28,001-208142,4,,IMAMOVIĆ AND FRAŠTO v. BOSNIA AND HERZEGOVINA,ECLI:CE:ECHR:2021:0121DEC001563720,,,HEDEC,ETEROVIC O.,,BIH,,,,,ADMISSIBILITYCOM,6;6-1;35;P1-1,4.799493,15637/20;16687/20;67810/10;43835/11;3927/15;67618/09
Struck out of the list,,,30034/08,,ENG,29,001-208143,4,,GUMINILOVYCH v. UKRAINE,ECLI:CE:ECHR:2021:0121DEC003003408,,,HEDEC,TYNIV I. D.,,UKR,,,,,ADMISSIBILITYCOM,6;6-1;37;37-1,4.799493,30034/08
Struck out of the list,,,27842/11,,ENG,29,001-208144,4,,BALIASHVILI v. GEORGIA,ECLI:CE:ECHR:2021:0121DEC002784211,,,HEDEC,ABULADZE S.,,GEO,,,,,ADMISSIBILITYCOM,3;6;13;37;37-1,4.799493,27842/11
Struck out of the list,,,305/12,,ENG,29,001-208145,4,,SKLYAROV v. UKRAINE,ECLI:CE:ECHR:2021:0121DEC000030512,,,HEDEC,,,UKR,,,,,ADMISSIBILITYCOM,6;6-1;37;37-1,4.799493,305/12
Struck out of the list,,,71032/12,,ENG,29,001-208146,4,,GENC AND OTHERS v. AZERBAIJAN,ECLI:CE:ECHR:2021:0121DEC007103212,,,HEDEC,MUSTAFAZADE R.,,AZE,,,,,ADMISSIBILITYCOM,5;6;9;37;37-1,4.799493,71032/12;26307/95;184/02;26587/07;18369/07
Struck out of the list,,,8779/13,,ENG,29,001-208147,4,,VAYKSHNIS v. UKRAINE,ECLI:CE:ECHR:2021:0121DEC000877913,,,HEDEC,,,UKR,,,,,ADMISSIBILITYCOM,3;37;37-1,4.799493,8779/13
Struck out of the list,,,11570/13,,ENG,29,001-208148,4,,LUKASHOV v. UKRAINE,ECLI:CE:ECHR:2021:0121DEC001157013,,,HEDEC,,,UKR,,,,,ADMISSIBILITYCOM,3;13;37;37-1,4.799493,11570/13
Struck out of the list,,,68237/13,,ENG,29,001-208149,4,,AMIRLI v. UKRAINE,ECLI:CE:ECHR:2021:0121DEC006823713,,,HEDEC,OSNACH L. A.,,UKR,,,,,ADMISSIBILITYCOM,3;6;37;37-1,4.799493,68237/13
Struck out of the list,,,16672/15,,ENG,29,001-208150,4,,SKUZ v. UKRAINE,ECLI:CE:ECHR:2021:0121DEC001667215,,,HEDEC,MYKHAYLENKO V.,,UKR,,,,,ADMISSIBILITYCOM,5;5-3;37;37-1,4.799493,16672/15
Struck out of the list,,,17374/16,,ENG,29,001-208151,4,,PANAHOV AND OTHERS v. AZERBAIJAN,ECLI:CE:ECHR:2021:0121DEC001737416,,,HEDEC,WISE J.,,AZE,,,,,ADMISSIBILITYCOM,5;8;9;11;14;37;37-1,4.799493,17374/16;26307/95;184/02;26587/07;18369/07
Inadmissible,,,33736/16,,ENG,29,001-208152,4,,SAGURA v. UKRAINE,ECLI:CE:ECHR:2021:0121DEC003373616,,,HEDEC,OVDIYENKO H. ; TOKAREV G.,,UKR,,,,,ADMISSIBILITYCOM,5;5-1;5-1-a;6;6-1;13;35;P7-2,4.799493,33736/16;2945/16;73590/14;9808/02;74820/10;71/11;76/11;83/11;332/11;24888/94;57/03
Inadmissible,,,44291/17,,ENG,29,001-208153,4,,GENSHAFT v. UKRAINE,ECLI:CE:ECHR:2021:0121DEC004429117,,,HEDEC,SHEVCHUK V. V.,,UKR,,,,,ADMISSIBILITYCOM,6;6-1;13;35,4.799493,44291/17;2945/16
Inadmissible,,,5067/18,,ENG,29,001-208154,4,,KOZLOV v. UKRAINE,ECLI:CE:ECHR:2021:0121DEC000506718,,,HEDEC,,,UKR,,,,,ADMISSIBILITYCOM,6;13;35;P1-1,4.799493,5067/18;30256/15;59524/15;2945/16
Struck out of the list,,,30415/18,,ENG,29,001-208155,4,,REDJEPOVI v. NORTH MACEDONIA,ECLI:CE:ECHR:2021:0121DEC003041518,,,HEDEC,EUROPEAN ROMA RIGHTS CENTRE,,MKD,,,,,ADMISSIBILITYCOM,2;39,4.799493,30415/18
Struck out of the list,,,59492/18,,ENG,29,001-208156,4,,JUSINOVA v. NORTH MACEDONIA,ECLI:CE:ECHR:2021:0121DEC005949218,,,HEDEC,EUROPEAN ROMA RIGHTS CENTRE,,MKD,,,,,ADMISSIBILITYCOM,2;39,4.799493,59492/18
Struck out of the list,,,26117/19,,ENG,29,001-208157,4,,SIDORENKO v. UKRAINE,ECLI:CE:ECHR:2021:0121DEC002611719,,,HEDEC,DOVZHENKO V. I.,,UKR,,,,,ADMISSIBILITYCOM,6;6-1;13;37;37-1,4.799493,26117/19
Struck out of the list,,,522/16,,ENG,28,001-208160,4,,COȘCODAR v. ROMANIA,ECLI:CE:ECHR:2021:0121DEC000052216,,,HEDEC,,,ROU,,,,,ADMISSIBILITYCOM,3;37;37-1,4.799493,522/16;26156/14;47848/08;23593/03;5207/10;25747/07;76737/01;19324/02
Struck out of the list,,,23866/16,,ENG,28,001-208162,4,,MUREȘAN v. ROMANIA,ECLI:CE:ECHR:2021:0121DEC002386616,,,HEDEC,TIGAN A.-V.,,ROU,,,,,ADMISSIBILITYCOM,3;37;37-1,4.799493,23866/16
Struck out of the list,,,25204/16,,ENG,28,001-208163,4,,ROȘU v. ROMANIA,ECLI:CE:ECHR:2021:0121DEC002520416,,,HEDEC,,,ROU,,,,,ADMISSIBILITYCOM,3;37;37-1,4.799493,25204/16
Struck out of the list,,,33212/15;53711/15;16813/16;39598/16;48356/16;50891/16;50959/16;53286/16;53378/16;53580/16;24920/17,,ENG,28,001-208164,4,,VLĂSCEANU AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:0121DEC003321215,,,HEDEC,DRAGAN F.,,ROU,,,,,ADMISSIBILITYCOM,3;37;37-1,4.799493,33212/15;53711/15;16813/16;39598/16;48356/16;50891/16;50959/16;53286/16;53378/16;53580/16;24920/17
Inadmissible,,,50098/15;44393/16;53600/16;59869/16,,ENG,28,001-208165,4,,BAJDECHI AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:0121DEC005009815,,,HEDEC,MARGARIT I.,,ROU,,,,,ADMISSIBILITYCOM,3;35,4.799493,50098/15;14224/15;50977/15;61467/12;44393/16;53600/16;59869/16
Struck out of the list,,,75/16;19482/16;50812/16,,ENG,28,001-208166,4,,CĂLINESCU AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:0121DEC000007516,,,HEDEC,GARTNER S.,,ROU,,,,,ADMISSIBILITYCOM,3;37;37-1,4.799493,75/16;19482/16;50812/16
Struck out of the list,,,14120/16;23812/16;32475/16;32536/16;38722/16;50594/16;69931/16,,ENG,28,001-208167,4,,VARGA AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:0121DEC001412016,,,HEDEC,,,ROU,,,,,ADMISSIBILITYCOM,3;37;37-1,4.799493,14120/16;23812/16;32475/16;32536/16;38722/16;50594/16;69931/16
Struck out of the list,,,25970/16;27739/16;27887/16;35211/16;37489/16;42967/16,,ENG,28,001-208170,4,,LÖRINCZ AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:0121DEC002597016,,,HEDEC,CHIRIAC O.,,ROU,,,,,ADMISSIBILITYCOM,3;37;37-1,4.799493,25970/16;27739/16;27887/16;35211/16;37489/16;42967/16
Struck out of the list,,,26002/16;27922/16,,ENG,28,001-208171,4,,ZĂVĂLAȘI AND RAICA v. ROMANIA,ECLI:CE:ECHR:2021:0121DEC002600216,,,HEDEC,VALON M.,,ROU,,,,,ADMISSIBILITYCOM,3;39,4.799493,26002/16;27922/16
Struck out of the list,,,31174/16;32835/16;35181/16;36676/16;36752/16;37146/16;37561/16;39951/16;40054/16;43829/16;51225/16;51488/16;61846/16;61950/16;67233/16,,ENG,28,001-208172,4,,MITRAN AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:0121DEC003117416,,,HEDEC,,,ROU,,,,,ADMISSIBILITYCOM,3;37;37-1,4.799493,31174/16;32835/16;35181/16;36676/16;36752/16;37146/16;37561/16;39951/16;40054/16;43829/16;51225/16;51488/16;61846/16;61950/16;67233/16
Struck out of the list,,,32403/16;40745/16;45176/16;65329/16,,ENG,28,001-208173,4,,IAMANDI AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:0121DEC003240316,,,HEDEC,,,ROU,,,,,ADMISSIBILITYCOM,3;37;37-1,4.799493,32403/16;40745/16;45176/16;65329/16
Communicated,,,44990/18;47468/18;7161/19,,ENG,,001-208200,4,,SCHERHAUFER v. AUSTRIA and 2 other applications,,,,HECOM,"Traxler, Stefan",,AUT,,,,,COMMUNICATEDCASES,9;9-1;11;11-1;14;P1-1,4.799493,44990/18;25088/94;9300/07;47468/18;7161/19
Communicated,,,29852/16,,ENG,,001-208201,4,,AGAZADE v. AZERBAIJAN,,,,HECOM,BAGIROV K.,,AZE,,,,,COMMUNICATEDCASES,13;18;P1-3,4.799493,29852/16
Communicated,,,39325/20,,ENG,,001-208202,4,,ŠEKS v. CROATIA,,,,HECOM,,,HRV,,,,,COMMUNICATEDCASES,6;6-1;10;10-1;13,4.799493,39325/20;18030/11
Communicated,,,57743/19,,ENG,,001-208203,4,,HYETT PERGER CVITANOVIĆ v. CROATIA,,,,HECOM,,,HRV,,,,,COMMUNICATEDCASES,6;6-1;13,4.799493,57743/19;26323/95;35738/03;30604/07;7942/05;24838/05;71872/12
Communicated,,,59030/19,,ENG,,001-208204,4,,TOPALUŠIĆ AND OTHERS v. CROATIA,,,,HECOM,,,HRV,,,,,COMMUNICATEDCASES,6;6-1;P1-1;P1-1-1,4.799493,59030/19
Communicated,,,62949/19,,ENG,,001-208205,4,,KAČKOV v. CROATIA,,,,HECOM,,,HRV,,,,,COMMUNICATEDCASES,6;6-1;8;8-1;P4-2;P4-2-1,4.799493,62949/19
Communicated,,,72763/14,,ENG,,001-208206,4,,MEDICA v. CROATIA,,,,HECOM,,,HRV,,,,,COMMUNICATEDCASES,6;6-1;8;8-1;13;P1-1,4.799493,72763/14;28261/06;42150/09;7177/10
Communicated,,,15136/20,,ENG,,001-208207,4,,LINGS v. DENMARK,,,,HECOM,,,DNK,,,,,COMMUNICATEDCASES,10;10-1,4.799493,15136/20
Communicated,,,4066/20,,ENG,,001-208213,4,,POMONI AND OTHERS v. GREECE,,,,HECOM,,,GRC,,,,,COMMUNICATEDCASES,9;9-1;13,4.799493,4066/20
Communicated,,,32662/20,,ENG,,001-208214,4,,VASSALLO v. HUNGARY,,,,HECOM,,,HUN,,,,,COMMUNICATEDCASES,8;8-1,4.799493,32662/20;27853/09;23641/17
Communicated,,,24919/20,,ENG,,001-208215,4,,MARCINKEVIČIUS v. LITHUANIA,,,,HECOM,,,LTU,,,,,COMMUNICATEDCASES,10;10-1,4.799493,24919/20;29369/10
Communicated,,,47731/19,,ENG,,001-208216,4,,CZESZEL v. POLAND,,,,HECOM,KARDAS P.,,POL,,,,,COMMUNICATEDCASES,3;5;5-3,4.799493,47731/19;31330/02;17584/04;45219/06
Communicated,,,911/16,,ENG,,001-208218,4,,CĂPĂŢÎNĂ v. ROMANIA,,,,HECOM,,,ROU,,,,,COMMUNICATEDCASES,6;6-1;8;8-1;P1-1,4.799493,911/16;39273/07;42079/12;58045/11;64863/13;41087/98;20319/17;21414/17
Communicated,,,16206/19,,ENG,,001-208220,4,,SAVINOVSKIKH AND OTHERS v. RUSSIA,,,,HECOM,,,RUS,,,,,COMMUNICATEDCASES,8;8-1;14,4.799493,16206/19
Communicated,,,61644/17,,ENG,,001-208221,4,,TETERIN v. RUSSIA,,,,HECOM,,,RUS,,,,,COMMUNICATEDCASES,3;6;6-3-c;8;8-1;14,4.799493,61644/17;14727/11;7334/13
Communicated,,,43387/09,,ENG,,001-208222,4,,STROGOV AND KIRICHENKO v. RUSSIA,,,,HECOM,,,RUS,,,,,COMMUNICATEDCASES,5;5-1-c;5-3;6;6-1;6-3-c;6-3-d,4.799493,43387/09;53203/99;4378/02;51164/07;13128/06;36391/02;4722/09
Communicated,,,6587/17,,ENG,,001-208223,4,,STENIN v. RUSSIA,,,,HECOM,,,RUS,,,,,COMMUNICATEDCASES,10;10-1,4.799493,6587/17
Communicated,,,59760/11,,ENG,,001-208224,4,,PROSKUROVA v. RUSSIA,,,,HECOM,,,RUS,,,,,COMMUNICATEDCASES,3;6;6-1;13,4.799493,59760/11;4722/09;10825/09;46956/09;2991/06
Communicated,,,34505/16,,ENG,,001-208225,4,,RAJKOVIĆ v. SERBIA,,,,HECOM,,,SRB,,,,,COMMUNICATEDCASES,2;2-1;6;6-1;13,4.799493,34505/16;17153/11;29183/95;22978/05;46477/99;57420/00;56080/13;28883/95;1401/08
Communicated,,,48511/15,,ENG,,001-208226,4,,STJEPANOVIĆ v. SERBIA,,,,HECOM,,,SRB,,,,,COMMUNICATEDCASES,6;6-1;8;8-1;9;9-1;14;P12-1,4.799493,48511/15;10163/02;37483/02;18684/07;21101/07
Communicated,,,29367/15,,ENG,,001-208228,4,,TUFANLI v. TURKEY,,,,HECOM,,,TUR,,,,,COMMUNICATEDCASES,5;5-1;5-4;5-5;9;9-1;13,4.799493,29367/15;23459/03;42730/05
Communicated,,,61808/19,,ENG,,001-208230,4,,AYDEMIR v. TURKEY,,,,HECOM,,,TUR,,,,,COMMUNICATEDCASES,5;5-1-a;5-4;6;6-1;6-3-b,4.799493,61808/19;8844/12;31610/08
Communicated,,,72982/17;74407/17,,ENG,,001-208232,4,,CHERKASOV v. UKRAINE and 1 other application,,,,HECOM,FOMICHOV O.V. ; KUZIN D.S.,,UKR,,,,,COMMUNICATEDCASES,14;P1-1,4.799493,72982/17;74407/17
Communicated,,,16192/18;54187/15;32618/16;26879/17;38047/17;39351/17;42770/17;46213/17;53948/17;64977/17;66167/17;73987/17;75801/17;248/18;3564/18;10194/18;11181/18;15230/18;16177/18;20560/18;24390/18;24947/18;24981/18;27024/18;27670/18;35502/18;37141/18;38016/18;39403/18;45880/18;48198/18;53642/18;56290/18;56456/18;57267/18;59336/18;6779/19;7433/19,,ENG,,001-208233,4,,DAMASCHIN v. THE REPUBLIC OF MOLDOVA,,,,HECOM,,,MDA,,,,,COMMUNICATEDCASES,6;6-1;6-3-c;14,4.799493,16192/18;8999/07
Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;No violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for family life),,,78754/13,,ENG,6,001-208245,3,02/03/2021 00:00:00,CASE OF PAVEL SHISHKOV v. RUSSIA,ECLI:CE:ECHR:2021:0302JUD007875413,"Baumann v. France, no. 33592/96, § 47, ECHR 2001-V (extracts);Görgülü v. Germany, no. 74969/01, 26 February 2004;Haase v. Germany, no. 11057/02, § 92, ECHR 2004-III (extracts);Haddad v. Spain, no. 16572/17, § 56, 18 June 2019;Ilya Lyapin v. Russia, no. 70879/11, 30 June 2020;K. and T. v. Finland [GC], no. 25702/94, § 178, ECHR 2001 VII;K.B. and Others v. Croatia, no. 36216/13, § 143, 14 March 2017;Kacper Nowakowski v. Poland, no. 32407/13, § 75, 10 January 2017;Khusnutdinov and X v. Russia, no. 76598/12, 18 December 2018;Kutzner v. Germany, no. 46544/99, § 67, ECHR 2002-I;Neulinger and Shuruk [GC], no. 41615/07, 6 July 2010;O’Sullivan McCarthy Mussel Development Ltd v. Ireland, no. 44460/16, § 136, 7 June 2018;Omorefe v. Spain, no. 69339/16, 23 June 2020;R.M.S. v. Spain, no. 28775/12, § 71, 18 June 2013;Różański v. Poland, no. 55339/00, § 61, 18 May 2006;S.H. v. Italy, no. 52557/14, § 38, 13 October 2015;Schneider v. Germany, no. 17080/07, § 93, 15 September 2011;Strand Lobben and Others v. Norway [GC], no. 37283/13, 10 September 2019;Suur v. Estonia, no. 41736/18, 20 October 2020;Uzbyakov v. Russia, no. 71160/13, 5 May 2020;V.D. and Others v. Russia, no. 72931/10, 9 April 2019;X v. Latvia [GC], no. 27853/09, ECHR 2013;Zelikha Magomadova v. Russia, no. 58724/14, § 82, 8 October 2019",8;8-1,HEJUD,SHUKH V.M.,FALSE,RUS,,,,,CHAMBER,8;8-1;35;35-3-a,4.799493,78754/13;33592/96;44460/16;70879/11;41615/07;27853/09;36216/13;74969/01;32407/13;52557/14;25702/94;28775/12;69339/16;41736/18;37283/13;72931/10;76598/12;46544/99;11057/02;16572/17;55339/00;17080/07;71160/13;58724/14
Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Reasonable time);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),,,28650/05,6;6-1;P1-1;P1-1-1,ENG,26,001-208257,4,16/02/2021 00:00:00,CASE OF DRONIC v. THE REPUBLIC OF MOLDOVA,ECLI:CE:ECHR:2021:0216JUD002865005,,,HEJUD,,FALSE,MDA,,,,,COMMITTEE,6;6-1;P1-1;P1-1-1,4.799493,
Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Public hearing),,,29096/06,6;6-1,ENG,26,001-208258,4,16/02/2021 00:00:00,CASE OF NORD-UNIVERSAL S.R.L. v. THE REPUBLIC OF MOLDOVA,ECLI:CE:ECHR:2021:0216JUD002909606,,,HEJUD,ZAMA V.,FALSE,MDA,,,,,COMMITTEE,6;6-1,4.799493,
Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing),,,49937/08,6;6-1,ENG,26,001-208260,4,16/02/2021 00:00:00,CASE OF CARAMAN v. THE REPUBLIC OF MOLDOVA,ECLI:CE:ECHR:2021:0216JUD004993708,,,HEJUD,GANDRABUR V.,FALSE,MDA,,,,,COMMITTEE,6;6-1,4.799493,
Inadmissible (Art. 35) Admissibility criteria;(Art. 35-1) Six-month period;(Art. 35-1) Continuing situation,,Parliamentary Assembly of the Council of Europe Opinion 221 (2000) on Armenia’s application for membership of the Council of Europe;Parliamentary Assembly of the Council of Europe Opinion 222 (2000) on Azerbaijan’s application for membership of the Council of Europe;Committee of Ministers of the Council of Europe Resolution Res(2000)13 invitation to Armenia to become a member of the Council of Europe;Committee of Ministers of the Council of Europe Resolution Res(2000)14 invitation to Azerbaijan to become a member of the Council of Europe,36606/08,,ENG,6,001-208277,3,,SAMADOV v. ARMENIA,ECLI:CE:ECHR:2021:0126DEC003660608,"Chiragov and Others (dec.) [GC], no. 13216/05, 14 December 2011;Cyprus v. Turkey, no. 8007/77, Commission decision of 10 July 1978, D.R. 13, p. 85 at p. 154;Demopoulos and Others v. Turkey (dec.) [GC], nos. 46113/99 and 7 others, ECHR 2010;Mocanu and Others v. Romania [GC], nos. 10865/09 and 2 others, §§ 258-269, ECHR 2014 (extracts);Sargsyan v. Azerbaijan (dec.) [GC], no. 40167/06, §§ 142-147, 14 December 2011;Varnava and Others v. Turkey [GC], nos. 16064/90 and 8 others, ECHR 2009",,HEDEC,N/A,,ARM,,,,,ADMISSIBILITY,8;8-1;35;35-1;P1-1;P1-1-1,4.799493,36606/08;13216/05;8007/77;16064/90;34979/97;76573/01;46477/99;14807/89;35935/02;10865/09;46113/99;40167/06
